iter	Passed	Remaining
0	2	281
1	5	282
2	8	279
3	11	267
4	13	260
5	15	248
6	18	241
7	20	239
8	23	241
9	26	238
10	29	241
11	32	239
12	34	233
13	38	235
14	40	232
15	43	227
16	45	222
17	48	218
18	50	215
19	52	211
20	55	208
21	57	204
22	59	199
23	62	197
24	64	193
25	66	189
26	69	186
27	71	182
28	73	179
29	77	181
30	80	178
31	82	175
32	85	172
33	87	169
34	90	168
35	92	164
36	95	161
37	97	158
38	100	156
39	103	154
40	104	150
41	107	148
42	109	144
43	110	140
44	113	138
45	116	136
46	118	133
47	120	130
48	122	127
49	124	124
50	126	121
51	129	119
52	131	116
53	133	113
54	135	110
55	137	108
56	139	105
57	142	102
58	144	100
59	146	97
60	148	95
61	150	92
62	153	90
63	155	87
64	157	84
65	159	82
66	161	79
67	163	76
68	165	74
69	167	71
70	168	69
71	170	66
72	173	64
73	175	61
74	177	59
75	180	56
76	182	54
77	184	52
78	186	49
79	188	47
80	190	44
81	192	42
82	194	39
83	196	37
84	198	35
85	201	32
86	203	30
87	206	28
88	208	25
89	210	23
90	212	21
91	215	18
92	217	16
93	219	14
94	221	11
95	223	9
96	226	6
97	227	4
98	229	2
99	231	0
